English;Français;Español
In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.;Dans le prochain tome, Martine se retrouvera confrontée pour la première fois à ___.;
____ is a slippery slope that leads to ____ (2);___ est un terrain glissant qui amène à ___. (2);
BILLY MAYS HERE FOR;Pierre Bellemare vous présente ce magnifique produit, ___.;
What's the crustiest ?;;
What's Teach for America using to inspire inner city student to succeed?;Quelle est la recette secrète de Acadomia pour faire réussir les élèves ?;
LifeTime presents _____, the story of ____(2);Téva présente ___, l'histoire de ___. (2);
What's my anti-drug ?;La drogue, j'arrête quand je veux grâce à _____;
;La prochaine saison de Plus belle la vie abordera enfin le sujet de ___  au Mistral.;
;Le Téléthon ? Rien à foutre, cette année je donne à une association pour ___.;
In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____;Afin de séduire un plus large public, le Musée d'Histoire Naturelle vient d'inaugurer une exposition interactive sur ___.;En un intento de ampliar su audiencia, El Museo de Arte Moderno ha inaugurado una exhibición interactiva de ___
____ ? There's a app for that.;___ ? Y a une appli pour ça !;¿______? Ya hay una app para eso.
Why can't I sleep at night ?;Pourquoi je ne dors pas la nuit ?; ¿Por qué no puedo dormir de noche?
What's that smell ?;Qu'est-ce que c'est que cette odeur ?; ¿A qué huele?
I got 99 problems but _____ ain't one.;Croyez-vous que je sois jaloux ? Pas du tout, pas du tout ! Moi j'ai un ___. Les filles en tombent à mes genoux.;Tengo 99 problemas, pero ____ no es uno de ellos.
Who stole the cookies from the cookie jar ?;Qui a mis les doigts dans le pot à confiture ?;¿Quién se comió las galletas?
What's the next Happy Meal toy ?;Quel est le prochain jouet du Happy Meal ?;¿Cuál es el próximo juguete de la Cajita Feliz?
Anthropologists have recently discovered a primitive tribe that worships ____;Des anthropologues ont récemment découvert une tribu qui voue un culte à ___.;Antropólogos descubrieron recientemente una tribu primitiva que venera a ____
It's a pity that kids these days are all getting involved with ____;C'est vraiment triste que les jeunes de nos jours se mettent à ___.;Es una lástima que los niños de hoy en día estén tan metidos en ____
During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____;Durant sa période brune souvent oubliée, Picasso a produit des centaines de peintures de ___.;En el poco conocido período marrón de Picasso, él hizo montones de pinturas de ____
Alternative medecine is now embracing the curative powers of ____;La médecine alternative adopte maintenant les vertus curatives de ___.;La medicina alternativa ahora aprovecha el poder curativo de ___
And the Academy Award for ____ goes to ____ (2);Et le César de ___ est attribué à ___ (2);Y la India Catalina en la categoría ___ es para ___ (2)
What's that sound ?;Quel est ce bruit ?;¿Qué es ése ruido?
What ended my last relationship ?;Qu'est-ce qui a mis un terme à ma dernière relation ?;¿Qué acabó con mi última relación?
MTV's new reality show features eight washed-up celebrities living with ____ ;La nouvelle émission télé-réalité de la 6 montre 8 peoples sur le déclin vivant avec ___.;El nuevo reality de Nuestra Tele muestra ocho famosos viviendo con ___
I drink to forget ____;Je bois pour oublier ___.;Bebo para olvidar ___
I'm sorry Professor, but I couldn't complete my homework because of ____;Désolé Maîtresse, je n'ai pas pu faire mes devoirs à cause de ___.;Qué pena profe, no pude terminar la tarea por culpa de ___
What is Batman's guilty pleasure ?;Quel est le péché mignon de Batman ?;¿Cuál es el placer culpable de Batman?
This is the way the worlds ends, Not with a bang but with ____;Et c'est comme ça que le monde prend fin. Pas avec un gros boum, mais avec ___.;Y así se acaba el mundo. No con una explosión, sino con ___
What's a girl's best friend ?;Quel est le meilleur ami d'une femme ?;¿Cuál es el mejor amigo de una mujer?
TSA guidelines now prohibits ____ on airplanes.;Les nouvelles règles de sécurité interdisent ___ dans les avions.;Ahora está prohibido ___ en los aviones
____. This is how I die;___. Voilà comment je meurs.;___. Así moriré
For my next trick, I will pull ____ out of ____ (2);Pour mon prochain numéro, je vais faire apparaître ___ de ___ .(2);En mi próximo truco, sacaré ___ de ___ (2)
What does Dick Cheney prefer ?;Le petit plaisir de Fillon, c'est ___.;¿Qué prefiere Fernando Londoño?
I wish I hadn't lost the instruction manual for ____;Je regrette d'avoir perdu la notice de ___;Ojalá no hubiera perdido el manual de instrucciones de ___
Instead of coal, Santa now gives the bad children ____.;Désormais, le Père Fouettard donne ___ aux enfants pas sages.;En vez de un tizón, el Niño Dios le trae a los niños desjuiciados ___
What's the most emo ?;Le mal-être de la Génération Y est crystallisé par ___.;¿Qué es lo más emo?
In 1000 years, when paper money is but a distant memory, ____ will be our currency.;Dans 1000 ans, le papier monnaie sera remplacé par ___ pour les transactions.;En 1000 años, cuando el papel moneda sea un recuerdo lejano, usaremos ___ como dinero
What's the next superhero/sidekick duo ? (2);Quel est le prochain duo de superhéros ? (2);¿Cuál es el siguiente dúo superhéroe/sidekick?
In M. Night Shyamalan's new movie, Bruce Willis discovers that ____ had really been ___ all along (2);Dans le nouveau filmde M. Night Shyamalan, Bruce Willis apprend que ___ était en fait ___ depuis le début. (2);En la nueva película de M. Night Shyamalan, Bruce Willis descubre que ___ en realidad había sido ___ todo el tiempo.
A romantic, candlelit dinner would be incomplete without ____;Un dîner romantique aux chandelles ne serait pas complet sans ___.;Una cena romántica a la luz de unas velas no está completa sin ___.
_____. Betcha can't have just one!;____ . J'te parie que tu peux pas en avoir un seul !;___. ¡Apuesto a que tiene que repetir!
White people like ____;Les Blancs aiment ___.;A los blancos les gusta ___
____. High five, bro.;____. Bien ouej, cousin !;___. ¡Chóquelas hombre!
Next from J.K. Rowling: Harry Potter and the Chamber of ____;Le prochain bouquin de J.K Rowling : Harry Potter et ___.;El próximo libro de J.K. Rowling: Harry Potter y la Cámara de ___
In a world savaged by ____, our only solace is _____(2);Dans un monde dévasté par ___, notre seul salut viendra de ___. (2);En un mundo asolado por ___, nuestro único solaz es ___ (2)
War! What is it good for ?;Dis-moi Bioman, pourquoi dans tout l'univers les forces du mal veulent s'emparer de la Terre ?;¡Guerra! ¿Qué propósito sirve?
During sex, I like to think about ____;Pendant le sexe, j'aime bien penser à ___.;Me gusta pensar en ___ cuando estoy tirando
What are my parents hiding from me ?;Que me cachent mes parents ?;¿Qué me ocultan mis padres?
What will always get you laid ?;Qu'est-ce qui marche à chaque fois pour finir au pieu ?;¿Cómo puede uno tirar con alguien a la fija?
When I'm in prison, I'll have ____ smuggled in.;Si je finis en prison, je ferai passer ___ en douce.;Cuando esté en prisión, entraré ___ de contrabando
What did I bring back from Mexico ?;Qu'est-ce que j'ai ramené d'Amsterdam ?;¿Qué traje de vuelta de Bolivia?
What don't you want to find in your Chinese food ?;Qu'est-ce que tu n'aimerais pas trouver chez ton traiteur chinois ?;¿Qué es lo último que quisiera encontrar en su comida china?
What will I bring back in time to convince people that I am a powerful wizard ?;Que vais-je ramener du futur pour convaincre le monde que je suis un sorcier puissant ?;¿Qué debo traer para convencer a la gente de que soy un poderoso mago?
How am I maintaining my relationship status ?;Je maintiens mon couple grâce à ___.;¿Cómo conservo mi situación sentimental?
____. It's a trap !;____. C'est un piège !;___. It's a trap!
Coming to Broadway this season,  ____: the musical.;Le prochain spectacle à la rentrée : ___, la comédie musicale;Esta temporada, en el Teatro la Castellana, ___: el musical
While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ____;Pendant que la France investissait tout son budget dans le Charles-De-Gaulle, les Américains claquaient des millions de dollars dans la recherche sur ___.;Mientras USA competía con la URSS para llegar a la Luna, el gobierno colombiano invirtió miles de millones de pesos en ___
After Hurricane Katrina, Sean Penn brought ____ to the people of New Orleans;Après les émeutes, Nicolas Sarkozy a apporté ____ aux jeunes défavorisés des banlieues;Luego del terremoto de Armenia, Jorge Barón le llevó ___ a los damnificados
Due to a PR fiasco, Walmart no longer offers ____;A cause d'un fiasco médiatique, Lidl ne vend désormais plus de ___.;Debido al escándalo mediático causado, Almacenes Éxito ya no ofrece ___ para la venta.
In his new summer comedy, Rob Schneider is ____ trapped in the body of ____ (2);Dans sa prochaine comédie, Gad Elmaleh sera ___ enfermé dans le corps de ___. (2);En su nueva comedia, Andrés López personifica a ___ atrapado en el cuerpo de __
Rumor has it that Vladimir Putin's favorite dish is ____ stuffed with ____ (2);La rumeur veut que le plat préféré de Vladimir Poutine soit ___ farci à ___. (2);Dicen las malas lenguas que el plato favorito de Álvaro Uribe es ___ relleno de ___ (2)
But before I kill you, Mr Bond, I must show you ____;Avant de vous tuer, M. Bond, je dois vous montrer ____;Sin embargo, antes de matarlo, señor Bond, debo mostrarle ___
What gives me uncontrollable gas ?;Qu'est-ce qui me fait faire des pets incontrolables ?;¿Qué me causa flatulencia incontrolable?
What do old people smell like ?;Les vieux sentent comme ___.;¿A qué huele la gente vieja?
The class field trip was completely ruined by ___;Le voyage de classe fut completement gâché par ___.;___ Arruinó completamente el paseo del prom
When Pharaoh remained unmoved, Moses called down a Plague of ____;Comme le Pharaon restait de marbre, Moïse invoqua un autre fléau : ___;Y como el Faraón siguió impasible, Moisés invocó una plaga de ___
What's my secret power ?;Quel est mon pouvoir secret ?;¿Cuál es mi poder secreto?
What's there a ton of in heaven ?;Au paradis, il y a une tonne de ___;¿De qué está lleno el cielo?
What would grandma find disturbing, yet oddly charming ?;Qu'est-ce que Mamie trouverait dérangeant, et pourtant si charmant ?;¿Qué cosa sería chocante para la abuela?
I never truly understood ____ until I encountered ____ (2);Je n'avais jamais bien compris ___ jusqu'à ce que je tombe sur ___. (2);Nunca entendí ___ hasta que conocí ___ (2)
The US has begun airdropping ___ to the children of Afghanistan;Les Etats-Unis ont commencé à larguer ___ aux petits Afghans.;La ONU empezó a enviar cargamentos aéreos de ___ para los niños de Afganistán
What helps Obama unwind ?;Qu'est-ce qui aide Sarkozy à décompresser ?;¿Qué hace el ex-presidente Uribe para liberar la tensión?
What did Vin Diesel eat for dinner ?;La recette du jour de Maïté : ___;¿Qué almorzó Osvaldo Ríos?
____ : Good to the last drop;___ : délicieux jusqu'au bout !;___: ¡Bueno hasta la última gota!
Why am I sticky ?;Pourquoi suis-je collant ?;¿Por qué me siento pegajoso?
What gets better with age ?;Qu'est-ce qui devient meilleur avec l'âge ?;¿Qué cosas mejoran con el tiempo?
____: kid-tested, mother-approved;___: Testé par les enfants, approuvé par les mamans.;___: a prueba de niños, aprobado por mamás
Studies show that lab rats navigate mazes 50% after being exposed to ____;Des études montrent que les rats de laboratoire se répèrent 50% plus facilement dans les labyrinthes après avoir été exposés à ___.;Estudios científicos muestran que ratas de laboratorio mejoran su capacidad de resolver laberintos hasta en un 50% luego de administrarles ___
Life was difficult for cavemen before _____;La vie des hommes préhistoriques était difficile avant ___.;La vida era dura para los cavernícolas, hasta la llegada de ___
Make a haiku. (draw 2, pick 3);Composer un Haiku ( tirer 2 cartes, en choisir 3);Escriba un Haiku (saque 2, escoja 3)
I do not know with what weapons World War III will be fought, but World War IV will be fought with ____;Je ne sais pas avec quelles armes on se battra pendant la 3e Guerre Mondiale, par contre pour la 4e Guerre Mondiale : ___.;No sé con qué armas se peleará la III Guerra Mundial, pero la IV Guerra Mundial se peleará con ___
Why do I hurt all over ?;Pourquoi ai-je mal partout ?;¿Por qué me duele todo el cuerpo?
What am I giving up for Lent ?;Pendant Ramadan, j'arrête ___.;¿Qué voy a ayunar en Cuaresma?
In Michael Jackson's final moments, he thought about ____;Ce qui est passé par la tête de Mickael Jackson juste avant sa mort : ___.;En sus últimos momentos, Michael Jackson pensó en ___
When I am President of the United States, I will create the Department of ____;Mon premier acte de Président sera la création du Ministère de ___.;En mi dictadura crearé un Ministerio de ___
When I am a billionaire, I shall erect a 50-foot statue to commemorate ____;Quand je serais milliardaire, j'érigerais une statue de 20m de haut pour célébrer ___?;Cuando sea billonario, erigiré un monumento de 20 metros para conmemorar ___
When I was tripping on acid, ____ turned into ____ (2);Quand j'étais sous acide, ___ s'est transformé en ___. (2);Cuando estaba trabado, ___ se transformó en ___ (2)
That's right, I killed ____, How, you ask ? ____ (2);J'avoue, j'ai tué ___. Comment ? C'est très simple, ___. (2);Así es, maté a ___, ¿Que cómo lo hice? ___ (2)
____ + ____ = _____ (draw 2, pick 3);____ + ____ = ____ (tirer 2 cartes, en choisir 3);___ + ___ = ___ (saque 2, escoja 3)
What never fails to liven up the party ?;Qu'est-ce qui ne manque jamais d'égayer un pince-fesse ?;¿Qué cosa nunca falla para animar una fiesta?
What's the new fad diet ?;Quel est le dernier régime à la mode ?;¿Cuál es el método de adelgazar de moda actualmente?
Major League Baseball has banned ____ for giving players an unfair advantage.;La Fifa a banni ____ car ça donnait un avantage injuste aux joueurs.;La FIFA prohibió ___ porque le daba una ventaja injusta a los jugadores
